Incident_ID,schoolaffiliation,age_cat,shooterdied
19980519TNLIF,Student,Teen,No
19980521CARIR,Student,Teen,Yes
19980521ORTHS,Student,Teen,No
19980521WAONO,Student,Teen,Yes
19980527CAWAP,Unknown,,No
19980529FLSTF,Intimate Relationship,Adult,Yes
19980615VAARR,Student,Teen,No
19980911CAHEG,Unknown,Teen,No
19980930FLLEL,Student,Teen,No
19980930FLNOM,Student,Teen,No
19980930FLNOM,Student,Teen,No
19981103PAMAP,No Relation,Teen,No
19981103PAMAP,No Relation,Teen,No
19981130NYHAH,Student,Teen,Yes
19981203INERG,Parent,Adult,No
19981211INBEI,Student,Teen,No
19990108GACEC,Student,Teen,Yes
19990108GACEC,Student,Teen,Yes
19990114NYHAN,Unknown,Teen,No
19990121TXRIN,Student,Teen,Yes
19990211ILOME,Unknown,,No
19990211MSJEP,Unknown,Adult,No
19990304ILNIS,Nonstudent Using Athletic Facilities/Attending Game,Adult,Yes
19990416IDNON,Student,Teen,No
19990420COCOL,Student,Teen,Yes
19990420COCOL,Student,Teen,Yes
19990422GAMAA,Student,Teen,No
19990422LASCB,Former Student,Teen,No
19990520GAHEC,Student,Teen,No
19990825GAJAM,Student,Teen,Yes
19990909CASAS,Student,Teen,Yes
19990927FLEGT,Unknown,,No
19991004SDJOP,Student,Teen,No
19991011NVCLL,Unknown,Teen,No
19991021CASAP,Unknown,Teen,No
19991026PAMAP,Former Student,Teen,No
19991026WVGUB,Other Staff,Adult,Yes
